Image Size,Accuracy,Precision,Recall,F1-Score,MCC
224,0.9915254237288136,0.991559829059829,0.991559829059829,0.991559829059829,0.9872872225813403
128,0.9915254237288136,0.9916666666666667,0.9916666666666667,0.9915611814345991,0.9873949579831933
64,0.9957627118644068,0.9958847736625515,0.9957264957264957,0.9957790689908502,0.9936700369143394
32,0.7457627118644068,0.7992465803525711,0.7438034188034188,0.7427558726623502,0.6444442500308278
