loss,accuracy,val_loss,val_accuracy,lr
0.3712894320487976,0.8644884824752808,0.09606065601110458,0.9870689511299133,0.001
0.10726887732744217,0.9721478223800659,0.062164969742298126,0.9913793206214905,0.001
0.07891843467950821,0.9764328002929688,0.04390914365649223,0.9956896305084229,0.001
0.06430501490831375,0.9812533259391785,0.03583338484168053,0.9956896305084229,0.001
0.05955773591995239,0.9828602075576782,0.03770996257662773,0.9913793206214905,0.001
0.05029267072677612,0.9850026965141296,0.03511055186390877,0.9913793206214905,0.001
0.05045817792415619,0.986073911190033,0.029770029708743095,0.9956896305084229,0.001
0.04828014597296715,0.9871451258659363,0.023639556020498276,0.9956896305084229,0.001
0.039931487292051315,0.9855383038520813,0.022439399734139442,0.9956896305084229,0.001
0.045949727296829224,0.986073911190033,0.022465387359261513,0.9956896305084229,0.001
0.0392659455537796,0.9898232221603394,0.020797589793801308,0.9956896305084229,0.001
0.03524136170744896,0.988752007484436,0.019157158210873604,0.9956896305084229,0.001
0.041533082723617554,0.9839314222335815,0.018799901008605957,0.9956896305084229,0.001
0.037265412509441376,0.9866095185279846,0.018421953544020653,0.9956896305084229,0.001
0.03446149826049805,0.988752007484436,0.01671501249074936,0.9956896305084229,0.001
0.032913487404584885,0.9882164001464844,0.01645369455218315,0.9956896305084229,0.001
0.03319322690367699,0.9866095185279846,0.015444325283169746,0.9956896305084229,0.001
0.03612956404685974,0.9866095185279846,0.014662481844425201,0.9956896305084229,0.001
0.03091873973608017,0.9908944964408875,0.01557621918618679,0.9956896305084229,0.001
0.02992240898311138,0.9882164001464844,0.014105943962931633,0.9956896305084229,0.001
