loss,accuracy,val_loss,val_accuracy
1.3546477556228638,0.38189607858657837,0.6931706666946411,0.7025862336158752
0.8245524764060974,0.6197107434272766,0.4042932987213135,0.9741379022598267
0.5569605827331543,0.774504542350769,0.26568692922592163,1.0
0.4118461012840271,0.8687734603881836,0.1907428354024887,1.0
0.3206433951854706,0.922870934009552,0.1429523527622223,1.0
0.2664884626865387,0.9416175484657288,0.11270008981227875,1.0
0.2102659046649933,0.9614354372024536,0.09151825308799744,1.0
0.18456317484378815,0.9678629040718079,0.07667125761508942,1.0
0.16970740258693695,0.9705410003662109,0.06530891358852386,1.0
0.14524777233600616,0.9780396223068237,0.05597064271569252,1.0
0.13236969709396362,0.9801821112632751,0.049648042768239975,1.0
0.11962886899709702,0.9807177186012268,0.043987952172756195,1.0
0.10558097064495087,0.9855383038520813,0.03942536562681198,1.0
0.10122309625148773,0.9850026965141296,0.035777878016233444,1.0
0.09373175352811813,0.9828602075576782,0.03267157822847366,1.0
0.086854949593544,0.9828602075576782,0.03040028177201748,1.0
0.07846641540527344,0.9871451258659363,0.028306137770414352,1.0
0.0750906765460968,0.988752007484436,0.02651514858007431,1.0
0.07665988057851791,0.986073911190033,0.024739839136600494,1.0
0.07005766034126282,0.9892876148223877,0.02365865930914879,1.0
