loss,accuracy,val_loss,val_accuracy,lr
1.0335891246795654,0.4547402262687683,0.9046019911766052,0.6465517282485962,1e-04
0.8318912386894226,0.6882699728012085,0.7368840575218201,0.9137930870056152,1e-04
0.6901570558547974,0.7916443347930908,0.6199367642402649,0.9784482717514038,1e-04
0.5911356806755066,0.8602035641670227,0.5299912095069885,0.9784482717514038,1e-04
0.5212377905845642,0.8971612453460693,0.46044373512268066,0.982758641242981,1e-04
0.4527089297771454,0.9196572303771973,0.408233106136322,0.9784482717514038,1e-04
0.4240107834339142,0.9255490303039551,0.36854416131973267,0.9784482717514038,1e-04
0.37819230556488037,0.9421532154083252,0.3344409465789795,0.9784482717514038,1e-04
0.3581928014755249,0.9464381337165833,0.30429333448410034,0.982758641242981,1e-04
0.3291938602924347,0.9448312520980835,0.2805497348308563,0.9784482717514038,1e-04
0.30418819189071655,0.9550080299377441,0.2590486705303192,0.9784482717514038,1e-04
0.2776758372783661,0.9694697260856628,0.2410222291946411,0.9784482717514038,1e-04
0.256250262260437,0.9630423188209534,0.22520339488983154,0.9784482717514038,1e-04
0.2509151101112366,0.9678629040718079,0.21132440865039825,0.9784482717514038,1e-04
0.2326379120349884,0.9694697260856628,0.19910483062267303,0.9784482717514038,1e-04
0.21990859508514404,0.9742903113365173,0.18798179924488068,0.9784482717514038,1e-04
0.21418775618076324,0.973219096660614,0.17778457701206207,0.9784482717514038,1e-04
0.19780327379703522,0.9769684076309204,0.168279230594635,0.9784482717514038,1e-04
0.1876704841852188,0.9780396223068237,0.16011576354503632,0.9784482717514038,1e-04
0.18129107356071472,0.9801821112632751,0.15264149010181427,0.9784482717514038,1e-04
